state,;,.,program,identifier,(,),constant,constant-definition,var,:,begin,end,integer,real,boolean,string,",",:=,writeln,number,readln,repeat-stateexpressionment,while,do,repeat,until,for,to,downto,if,then,else,+,-,not,=,<>,<,<=,>,>=,or,*,/,div,mod,and,$,programa',programa,program-heading,opt-program-parameters,program-parameters,program-block,constant-declaration-part,more-constant-definition,variable-declaration-part,more-variable-declaration,variable-declaration,statement-part,type,identifier-list,more-identifier,statement-sequence,more-statement,statement,simple-statement,assignment-statement,IO-statement,writeln-statement,opt-element-list,element-list,more-element,element,readln-statement,opt-identifier-list,structured-statement,compound-statement,repetitive-statement,while-statement,repeat-statement,for-statement,to-downto,conditional-statement,opt-else,expression,opt-rel-expression,simple-expression,opt-sign,more-add-term,term,more-mult-term,factor,relational-operator,addition-operator,multiplication-operator
90,r73,,,,,r73,,,,,,r73,,,,,,,,,,,,r73,,r73,,r73,r73,,r73,r73,r73,r73,,r73,r73,r73,r73,r73,r73,r73,s118,s119,s120,s121,s122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,117
91,r74,,,,,r74,,,,,,r74,,,,,,,,,,,,r74,,r74,,r74,r74,,r74,r74,r74,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,r75,,,,,r75,,,,,,r75,,,,,,,,,,,,r75,,r75,,r75,r75,,r75,r75,r75,r75,,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,r76,,,,,r76,,,,,,r76,,,,,,,,,,,,r76,,r76,,r76,r76,,r76,r76,r76,r76,,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,r68,r68,,,,,,,,,,,r68,,,,r68,,,,,,,,,,,,,s60,s61,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,58,59,,,,,,,
95,,,,s91,s94,,,,,,,,,,,s93,,,,s92,,,,,,,,,,,,,,,s95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,
96,,,,,,s125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,r40,,,,,,,,,,,s127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,r41,,,,,,,,,,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
